




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_1v2_sigUP.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9065
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19989)	DEseq_kmeans_all_1v2_sigUP.txt (992)	DEseq_kmeans_all_1v2_sigUP.txt (expected)	DEseq_kmeans_all_1v2_sigUP.txt (over/under)	DEseq_kmeans_all_1v2_sigUP.txt (fold Enrichment)	DEseq_kmeans_all_1v2_sigUP.txt (P-value)
desmosome organization (GO:0002934)	10	8	.50	+	16.12	6.30E-03
keratinization (GO:0031424)	57	39	2.83	+	13.79	8.16E-23
keratinocyte development (GO:0003334)	13	8	.65	+	12.40	2.58E-02
establishment of skin barrier (GO:0061436)	26	15	1.29	+	11.63	2.15E-06
keratinocyte differentiation (GO:0030216)	107	58	5.31	+	10.92	3.72E-31
regulation of water loss via skin (GO:0033561)	28	15	1.39	+	10.79	4.70E-06
peptide cross-linking (GO:0018149)	35	18	1.74	+	10.36	1.46E-07
epidermal cell differentiation (GO:0009913)	160	63	7.94	+	7.93	8.74E-28
positive regulation of epidermis development (GO:0045684)	28	11	1.39	+	7.92	1.12E-02
skin development (GO:0043588)	231	88	11.46	+	7.68	3.74E-39
epidermis development (GO:0008544)	278	102	13.80	+	7.39	9.27E-45
intermediate filament cytoskeleton organization (GO:0045104)	52	19	2.58	+	7.36	4.23E-06
multicellular organismal water homeostasis (GO:0050891)	58	21	2.88	+	7.30	5.92E-07
intermediate filament-based process (GO:0045103)	53	19	2.63	+	7.22	5.49E-06
regulation of keratinocyte differentiation (GO:0045616)	34	12	1.69	+	7.11	9.28E-03
epidermis morphogenesis (GO:0048730)	33	11	1.64	+	6.72	4.13E-02
regulation of keratinocyte proliferation (GO:0010837)	33	11	1.64	+	6.72	4.13E-02
regulation of epidermis development (GO:0045682)	61	20	3.03	+	6.61	7.06E-06
regulation of epidermal cell differentiation (GO:0045604)	55	18	2.73	+	6.59	5.07E-05
water homeostasis (GO:0030104)	66	21	3.28	+	6.41	4.20E-06
hair cycle (GO:0042633)	91	22	4.52	+	4.87	1.22E-04
molting cycle (GO:0042303)	91	22	4.52	+	4.87	1.22E-04
skin epidermis development (GO:0098773)	77	17	3.82	+	4.45	1.58E-02
hair cycle process (GO:0022405)	77	17	3.82	+	4.45	1.58E-02
molting cycle process (GO:0022404)	77	17	3.82	+	4.45	1.58E-02
hair follicle development (GO:0001942)	73	16	3.62	+	4.42	3.43E-02
epithelial cell differentiation (GO:0030855)	527	99	26.15	+	3.79	9.40E-23
cell-cell junction organization (GO:0045216)	168	31	8.34	+	3.72	4.37E-05
regulation of epithelial cell differentiation (GO:0030856)	139	23	6.90	+	3.33	2.17E-02
epithelial cell development (GO:0002064)	200	32	9.93	+	3.22	4.95E-04
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	26	8.29	+	3.14	1.35E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	40	12.80	+	3.12	2.45E-05
cell junction assembly (GO:0034329)	257	37	12.75	+	2.90	5.36E-04
epithelium development (GO:0060429)	964	131	47.84	+	2.74	2.81E-19
multicellular organismal homeostasis (GO:0048871)	350	45	17.37	+	2.59	4.68E-04
cell-cell adhesion (GO:0098609)	515	66	25.56	+	2.58	4.58E-07
cell junction organization (GO:0034330)	475	60	23.57	+	2.55	5.58E-06
tissue development (GO:0009888)	1595	185	79.16	+	2.34	2.83E-21
biological adhesion (GO:0022610)	957	100	47.49	+	2.11	2.52E-07
cell adhesion (GO:0007155)	951	99	47.20	+	2.10	3.76E-07
cell differentiation (GO:0030154)	3387	249	168.09	+	1.48	2.60E-06
cellular developmental process (GO:0048869)	3445	252	170.97	+	1.47	2.64E-06
animal organ development (GO:0048513)	3064	222	152.06	+	1.46	1.06E-04
system development (GO:0048731)	4155	284	206.20	+	1.38	1.02E-04
anatomical structure development (GO:0048856)	4981	340	247.19	+	1.38	1.28E-06
