TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001775", "cell activation", 0.108, -8.153, 1.049, 4.387, 0.995, 0.000, -1, False
"GO:0002252", "immune effector process", 0.205, -0.847, 6.666, 4.663, 0.804, 0.000, -1, False
"GO:0002443", "leukocyte mediated immunity", 0.033, null, null, 3.874, 0.808, 0.712, 2252, True
"GO:0050900", "leukocyte migration", 0.038, null, null, 3.937, 0.742, 0.719, 2252, True
"GO:0097529", "myeloid leukocyte migration", 0.019, null, null, 3.634, 0.750, 0.750, 2252, True
"GO:0045321", "leukocyte activation", 0.087, null, null, 4.291, 0.784, 0.763, 2252, True
"GO:0045087", "innate immune response", 0.127, null, null, 4.456, 0.598, 0.786, 2252, True
"GO:0042119", "neutrophil activation", 0.007, null, null, 3.219, 0.797, 0.823, 2252, True
"GO:0006955", "immune response", 0.297, null, null, 4.825, 0.671, 0.841, 2252, True
"GO:0036230", "granulocyte activation", 0.008, null, null, 3.248, 0.800, 0.881, 2252, True
"GO:0002274", "myeloid leukocyte activation", 0.023, null, null, 3.721, 0.797, 0.885, 2252, True
"GO:0002366", "leukocyte activation involved in immune response", 0.027, null, null, 3.788, 0.677, 0.894, 2252, True
"GO:0002263", "cell activation involved in immune response", 0.028, null, null, 3.797, 0.683, 0.895, 2252, True
"GO:0030595", "leukocyte chemotaxis", 0.023, null, null, 3.719, 0.602, 0.929, 2252, True
"GO:0002275", "myeloid cell activation involved in immune response", 0.009, null, null, 3.323, 0.691, 0.936, 2252, True
"GO:0043312", "neutrophil degranulation", 0.003, null, null, 2.822, 0.645, 0.947, 2252, True
"GO:0002283", "neutrophil activation involved in immune response", 0.004, null, null, 2.932, 0.702, 0.959, 2252, True
"GO:0002376", "immune system process", 0.620, -7.880, -2.881, 5.144, 1.000, 0.000, -1, False
"GO:0002682", "regulation of immune system process", 0.270, -5.875, 2.478, 4.784, 0.915, 0.000, -1, False
"GO:0003008", "system process", 0.707, -8.026, -0.352, 5.202, 1.000, 0.000, -1, False
"GO:0008152", "metabolic process", 63.536, -2.384, 6.917, 7.155, 1.000, 0.000, -1, False
"GO:0009607", "response to biotic stimulus", 0.639, -4.747, -4.174, 5.158, 0.818, 0.000, -1, False
"GO:0023052", "signaling", 7.023, -2.043, -8.186, 6.199, 1.000, 0.000, -1, False
"GO:0032501", "multicellular organismal process", 2.455, -0.843, -8.183, 5.742, 1.000, 0.000, -1, False
"GO:0044848", "biological phase", 8.107, 1.950, 1.786, 6.261, 1.000, 0.000, -1, False
"GO:0050896", "response to stimulus", 12.826, 6.976, 2.341, 6.460, 1.000, 0.000, -1, False
"GO:0051179", "localization", 18.989, 6.426, 3.307, 6.631, 1.000, 0.000, -1, False
"GO:0065007", "biological regulation", 22.831, -3.432, 6.762, 6.711, 1.000, 0.000, -1, False
"GO:0098763", "mitotic cell cycle phase", 8.107, 5.839, 4.290, 6.261, 0.985, 0.000, -1, False
"GO:0022403", "cell cycle phase", 8.107, null, null, 6.261, 0.985, 0.919, 98763, True
"GO:0000278", "mitotic cell cycle", 0.396, -7.951, -1.531, 4.950, 0.994, 0.005, -1, False
"GO:0051301", "cell division", 1.492, 5.126, 2.765, 5.526, 0.993, 0.007, -1, False
"GO:0032940", "secretion by cell", 0.632, 1.811, 5.834, 5.153, 0.885, 0.007, -1, False
"GO:0045055", "regulated exocytosis", 0.031, null, null, 3.838, 0.904, 0.755, 32940, True
"GO:0006887", "exocytosis", 0.206, null, null, 4.666, 0.894, 0.883, 32940, True
"GO:0042254", "ribosome biogenesis", 1.641, 0.302, -8.332, 5.567, 0.981, 0.008, -1, False
"GO:0022613", "ribonucleoprotein complex biogenesis", 1.857, null, null, 5.621, 0.981, 0.711, 42254, True
"GO:0034660", "ncRNA metabolic process", 3.755, 2.721, -6.111, 5.927, 0.897, 0.009, -1, False
"GO:0006396", "RNA processing", 3.773, null, null, 5.929, 0.897, 0.704, 34660, True
"GO:0007154", "cell communication", 7.555, 0.353, 1.514, 6.230, 0.991, 0.012, -1, False
"GO:0009058", "biosynthetic process", 25.070, 6.876, 0.404, 6.751, 0.958, 0.071, -1, False
"GO:0046483", "heterocycle metabolic process", 22.176, 5.155, -0.451, 6.698, 0.943, 0.114, -1, False
"GO:1901360", "organic cyclic compound metabolic process", 22.951, 3.503, -1.152, 6.713, 0.949, 0.116, -1, False
"GO:0006807", "nitrogen compound metabolic process", 46.321, 6.376, -0.931, 7.018, 0.947, 0.154, -1, False
"GO:0006725", "cellular aromatic compound metabolic process", 22.223, 6.530, -3.236, 6.699, 0.943, 0.167, -1, False
"GO:0034641", "cellular nitrogen compound metabolic process", 26.813, 5.331, -4.189, 6.780, 0.929, 0.180, -1, False
"GO:0002697", "regulation of immune effector process", 0.070, -5.847, 3.505, 4.198, 0.892, 0.186, -1, False
"GO:0002703", "regulation of leukocyte mediated immunity", 0.033, null, null, 3.868, 0.897, 0.772, 2697, True
"GO:0002684", "positive regulation of immune system process", 0.155, null, null, 4.541, 0.862, 0.859, 2697, True
"GO:0050776", "regulation of immune response", 0.151, null, null, 4.530, 0.849, 0.909, 2697, True
"GO:0001817", "regulation of cytokine production", 0.116, -4.636, 3.976, 4.416, 0.894, 0.193, -1, False
"GO:0051240", "positive regulation of multicellular organismal process", 0.251, null, null, 4.752, 0.868, 0.812, 1817, True
"GO:0043170", "macromolecule metabolic process", 35.078, 4.722, -2.322, 6.897, 0.941, 0.202, -1, False
"GO:0032101", "regulation of response to external stimulus", 0.207, -3.570, 2.693, 4.667, 0.878, 0.203, -1, False
"GO:0048584", "positive regulation of response to stimulus", 0.465, null, null, 5.019, 0.850, 0.764, 32101, True
"GO:1901576", "organic substance biosynthetic process", 23.933, 3.546, -2.803, 6.731, 0.916, 0.205, -1, False
"GO:0044249", "cellular biosynthetic process", 23.389, null, null, 6.721, 0.910, 0.719, 1901576, True
"GO:0051239", "regulation of multicellular organismal process", 0.548, -4.210, 1.902, 5.091, 0.910, 0.221, -1, False
"GO:0044238", "primary metabolic process", 50.800, 6.464, -1.587, 7.058, 0.944, 0.229, -1, False
"GO:0051049", "regulation of transport", 0.473, -5.218, 1.778, 5.027, 0.892, 0.232, -1, False
"GO:1903530", "regulation of secretion by cell", 0.103, null, null, 4.365, 0.901, 0.805, 51049, True
"GO:0051046", "regulation of secretion", 0.111, null, null, 4.398, 0.902, 0.810, 51049, True
"GO:0023051", "regulation of signaling", 0.944, -5.160, 2.993, 5.327, 0.906, 0.248, -1, False
"GO:0010467", "gene expression", 11.700, 1.806, -5.372, 6.420, 0.931, 0.251, -1, False
"GO:0010646", "regulation of cell communication", 0.941, -5.191, 2.325, 5.326, 0.904, 0.263, -1, False
"GO:0071704", "organic substance metabolic process", 56.056, 5.788, -1.484, 7.101, 0.942, 0.263, -1, False
"GO:0048583", "regulation of response to stimulus", 1.154, -4.558, 2.965, 5.414, 0.904, 0.269, -1, False
"GO:0071216", "cellular response to biotic stimulus", 0.032, -3.450, -4.105, 3.861, 0.788, 0.274, -1, False
"GO:0046903", "secretion", 0.675, 3.176, 5.380, 5.182, 0.922, 0.278, -1, False
"GO:0140352", "export from cell", 0.710, 2.740, 4.973, 5.204, 0.917, 0.281, -1, False
"GO:0044237", "cellular metabolic process", 56.282, 6.057, -1.926, 7.102, 0.935, 0.287, -1, False
"GO:0065008", "regulation of biological quality", 3.066, -4.609, 2.367, 5.839, 0.901, 0.287, -1, False
"GO:0016192", "vesicle-mediated transport", 1.336, 2.884, 5.824, 5.478, 0.911, 0.302, -1, False
"GO:0006952", "defense response", 0.754, -3.863, -4.946, 5.229, 0.802, 0.360, -1, False
"GO:0006812", "cation transport", 3.571, 2.416, 5.776, 5.905, 0.900, 0.366, -1, False
"GO:0009605", "response to external stimulus", 1.716, -4.357, -4.021, 5.587, 0.801, 0.400, -1, False
"GO:0007166", "cell surface receptor signaling pathway", 0.845, -4.327, -1.543, 5.279, 0.726, 0.405, -1, False
"GO:0044260", "cellular macromolecule metabolic process", 30.227, 3.661, -3.896, 6.833, 0.900, 0.407, -1, False
"GO:0010033", "response to organic substance", 0.953, -4.558, -4.649, 5.331, 0.764, 0.411, -1, False
"GO:0070887", "cellular response to chemical stimulus", 1.809, null, null, 5.610, 0.743, 0.761, 10033, True
"GO:0006139", "nucleobase-containing compound metabolic process", 19.247, 4.213, -4.961, 6.636, 0.895, 0.476, -1, False
"GO:0042221", "response to chemical", 3.298, -4.135, -4.171, 5.870, 0.787, 0.479, -1, False
"GO:0006954", "inflammatory response", 0.090, -3.839, -5.332, 4.304, 0.824, 0.496, -1, False
"GO:0007186", "G protein-coupled receptor signaling pathway", 1.021, -4.310, -1.415, 5.361, 0.721, 0.532, -1, False
