TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006629", "lipid metabolic process", 4.3305532868586, -5.64381919948401, -4.47322071242397, 6.02051541325903, NaN, 0.95470491158318, 0, null, False
"GO:0009593", "detection of chemical stimulus", 0.361754125829433, 1.88528520805508, -5.85206241890291, 4.94239006410615, NaN, 0.907496833540592, 0, null, False
"GO:0050911", "detection of chemical stimulus involved in sensory perception of smell", 0.346544722667562, null, null, 4.92373607838393, NaN, 0.702031189158549, 0.94998083, 9593, True
"GO:0050906", "detection of stimulus involved in sensory perception", 0.369767771167301, null, null, 4.9519055191718, NaN, 0.70312452508437, 0.95547172, 9593, True
"GO:0007608", "sensory perception of smell", 0.353348059714711, null, null, 4.93217939998684, NaN, 0.734876121829471, 0.97278347, 9593, True
"GO:0050907", "detection of chemical stimulus involved in sensory perception", 0.355405170734432, null, null, 4.93470040171542, NaN, 0.70152174612877, 0.99103597, 9593, True
"GO:0009888", "tissue development", 0.464551846385193, 5.77053028426345, -0.0114665833946001, 5.05100966432426, NaN, 0.736523691491568, 0, null, False
"GO:0030154", "cell differentiation", 1.00690627521303, null, null, 5.38696244121462, NaN, 0.709314374434502, 0.7682416, 9888, True
"GO:0048869", "cellular developmental process", 1.02457347166152, null, null, 5.39451646992808, NaN, 0.71993163225417, 0.83444001, 9888, True
"GO:0048856", "anatomical structure development", 1.74471103538446, null, null, 5.6256961483378, NaN, 0.715379300322204, 0.8875947, 9888, True
"GO:0048731", "system development", 1.19554500801943, null, null, 5.46153904303751, NaN, 0.574592979296647, 0.90375709, 9888, True
"GO:0048513", "animal organ development", 0.705717132859796, null, null, 5.23260481516133, NaN, 0.589336839047872, 0.90970742, 9888, True
"GO:0007275", "multicellular organism development", 1.32476297372004, null, null, 5.50611114762876, NaN, 0.576599176441724, 0.91483546, 9888, True
"GO:0022610", "biological adhesion", 0.574995575972084, 4.04766933412455, -4.34283303151046, 5.14363923527454, NaN, 1, 0, null, False
"GO:0032502", "developmental process", 2.00765774034699, 1.46029841276688, -2.9915108692054, 5.68666218318046, NaN, 1, 0, null, False
"GO:0042303", "molting cycle", 0.0199804136594154, 4.98678916687129, 3.6814729352659, 3.68466586402586, NaN, 0.798925487625945, 0, null, False
"GO:0045104", "intermediate filament cytoskeleton organization", 0.026370676204612, -2.61724664073328, -6.05822416762139, 3.80516090159943, NaN, 0.940896486195849, 0, null, False
"GO:0045682", "regulation of epidermis development", 0.0109216898316094, 0.0489019541922489, 7.67665011505501, 3.4224256763712, NaN, 0.898446292876875, 0, null, False
"GO:0045103", "intermediate filament-based process", 0.026585474945627, 1.29517681792374, -0.755893466974731, 3.80868350912897, NaN, 0.993045185496309, 0.00631026, null, False
"GO:0007155", "cell adhesion", 0.56162022359888, 5.28944522680671, -3.35849056021167, 5.13341754442658, NaN, 0.938743171335872, 0.00774901, null, False
"GO:0098742", "cell-cell adhesion via plasma-membrane adhesion molecules", 0.164853902984001, null, null, 4.60108172778402, NaN, 0.942221010476849, 0.885059, 7155, True
"GO:0098609", "cell-cell adhesion", 0.22244888079116, null, null, 4.73120990163874, NaN, 0.94131735554026, 0.90854787, 7155, True
"GO:0018149", "peptide cross-linking", 0.0164444959227068, -4.24508882628801, 6.74398343341766, 3.60010125569139, NaN, 0.936559728195761, 0.05770142, null, False
"GO:0016071", "mRNA metabolic process", 1.14667003294847, -6.78294385994249, 3.0739717651142, 5.44341163940542, NaN, 0.893532396151773, 0.10496913, null, False
"GO:0030104", "water homeostasis", 0.010624276190204, 2.9879600803585, 6.01792985142785, 3.41043978621035, NaN, 0.875670664206802, 0.12294388, null, False
"GO:0043170", "macromolecule metabolic process", 34.6776746615309, -3.64281686471241, -1.16795017766015, 6.92402163165838, NaN, 0.939055726569745, 0.12524693, null, False
"GO:0046483", "heterocycle metabolic process", 21.9091039472243, -6.11212721364799, -1.80115344934039, 6.7245963098478, NaN, 0.929003950300806, 0.1345009, null, False
"GO:0010467", "gene expression", 11.6527490851639, -4.30054495381715, 3.59423431679128, 6.4504001610852, NaN, 0.910505440228337, 0.20907177, null, False
"GO:0006725", "cellular aromatic compound metabolic process", 21.9291876295092, -7.04619189395446, -1.58950472247716, 6.7249942373694, NaN, 0.928988780146724, 0.21077782, null, False
"GO:0006355", "regulation of transcription, DNA-templated", 10.0330757015203, 1.66727987225594, 6.77597550615518, 6.38540588000018, NaN, 0.762504358030511, 0.21131087, null, False
"GO:0009889", "regulation of biosynthetic process", 11.6134657000283, null, null, 6.4489336081709, NaN, 0.773733850144151, 0.79049496, 6355, True
"GO:0019219", "regulation of nucleobase-containing compound metabolic process", 10.3394034906778, null, null, 6.39846726941528, NaN, 0.773042120507114, 0.79951099, 6355, True
"GO:2000112", "regulation of cellular macromolecule biosynthetic process", 11.5324411364704, null, null, 6.44589301423114, NaN, 0.763365431693893, 0.85640764, 6355, True
