TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0009593", "detection of chemical stimulus", 0.302, 2.529, -5.800, 4.832, 0.902, 0.000, -1, False
"GO:0050911", "detection of chemical stimulus involved in sensory perception of smell", 0.287, null, null, 4.809, 0.654, 0.944, 9593, True
"GO:0050906", "detection of stimulus involved in sensory perception", 0.310, null, null, 4.844, 0.655, 0.950, 9593, True
"GO:0007608", "sensory perception of smell", 0.294, null, null, 4.821, 0.688, 0.972, 9593, True
"GO:0050907", "detection of chemical stimulus involved in sensory perception", 0.295, null, null, 4.822, 0.654, 0.991, 9593, True
"GO:0009888", "tissue development", 0.457, -1.419, 1.262, 5.012, 0.697, 0.000, -1, False
"GO:0009653", "anatomical structure morphogenesis", 0.911, null, null, 5.311, 0.681, 0.758, 9888, True
"GO:0048513", "animal organ development", 0.734, null, null, 5.218, 0.526, 0.796, 9888, True
"GO:0030154", "cell differentiation", 1.006, null, null, 5.355, 0.664, 0.798, 9888, True
"GO:0048869", "cellular developmental process", 1.023, null, null, 5.362, 0.680, 0.809, 9888, True
"GO:0048856", "anatomical structure development", 2.018, null, null, 5.657, 0.667, 0.875, 9888, True
"GO:0048731", "system development", 1.191, null, null, 5.428, 0.515, 0.891, 9888, True
"GO:0007275", "multicellular organism development", 1.587, null, null, 5.553, 0.510, 0.923, 9888, True
"GO:0022610", "biological adhesion", 0.549, 6.024, -3.721, 5.092, 1.000, 0.000, -1, False
"GO:0032501", "multicellular organismal process", 2.455, 1.356, -2.804, 5.742, 1.000, 0.000, -1, False
"GO:0032502", "developmental process", 2.243, -6.759, -1.094, 5.703, 1.000, 0.000, -1, False
"GO:0040011", "locomotion", 1.012, 3.898, -3.088, 5.357, 1.000, 0.000, -1, False
"GO:0042303", "molting cycle", 0.021, -1.386, 7.369, 3.675, 0.765, 0.000, -1, False
"GO:0045104", "intermediate filament cytoskeleton organization", 0.024, -1.174, -5.637, 3.728, 0.955, 0.000, -1, False
"GO:0045682", "regulation of epidermis development", 0.011, -6.293, 2.101, 3.395, 0.923, 0.000, -1, False
"GO:0045103", "intermediate filament-based process", 0.024, -6.154, -2.694, 3.733, 0.996, 0.004, -1, False
"GO:0012501", "programmed cell death", 0.236, 4.684, -5.085, 4.725, 0.973, 0.005, -1, False
"GO:0008219", "cell death", 0.244, 7.064, -2.403, 4.740, 0.995, 0.006, -1, False
"GO:0033365", "protein localization to organelle", 0.624, -4.185, -2.315, 5.147, 0.994, 0.006, -1, False
"GO:0007155", "cell adhesion", 0.535, -4.959, -4.310, 5.081, 0.939, 0.007, -1, False
"GO:0098742", "cell-cell adhesion via plasma-membrane adhesion molecules", 0.150, null, null, 4.527, 0.942, 0.882, 7155, True
"GO:0098609", "cell-cell adhesion", 0.206, null, null, 4.667, 0.941, 0.907, 7155, True
"GO:0016071", "mRNA metabolic process", 1.107, 4.442, 6.416, 5.396, 0.910, 0.007, -1, False
"GO:1901360", "organic cyclic compound metabolic process", 22.951, 3.881, 1.009, 6.713, 0.953, 0.085, -1, False
"GO:0046483", "heterocycle metabolic process", 22.176, 6.867, 0.522, 6.698, 0.949, 0.111, -1, False
"GO:0030104", "water homeostasis", 0.011, -4.976, 5.513, 3.394, 0.905, 0.125, -1, False
"GO:0006725", "cellular aromatic compound metabolic process", 22.223, 7.370, 1.437, 6.699, 0.949, 0.167, -1, False
"GO:0034641", "cellular nitrogen compound metabolic process", 26.813, 6.554, 3.273, 6.780, 0.933, 0.178, -1, False
"GO:0043170", "macromolecule metabolic process", 35.078, 4.926, 1.802, 6.897, 0.947, 0.202, -1, False
"GO:0010467", "gene expression", 11.700, 3.374, 6.220, 6.420, 0.932, 0.205, -1, False
