




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_3v1_sigUP.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9065
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19989)	DEseq_kmeans_all_3v1_sigUP.txt (2583)	DEseq_kmeans_all_3v1_sigUP.txt (expected)	DEseq_kmeans_all_3v1_sigUP.txt (over/under)	DEseq_kmeans_all_3v1_sigUP.txt (fold Enrichment)	DEseq_kmeans_all_3v1_sigUP.txt (P-value)
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	32	8.92	+	3.59	4.03E-04
neutrophil chemotaxis (GO:0030593)	77	35	9.95	+	3.52	1.43E-04
granulocyte chemotaxis (GO:0071621)	82	37	10.60	+	3.49	6.53E-05
neutrophil migration (GO:1990266)	87	38	11.24	+	3.38	8.24E-05
granulocyte migration (GO:0097530)	95	40	12.28	+	3.26	7.67E-05
myeloid leukocyte activation (GO:0002274)	134	54	17.32	+	3.12	7.53E-07
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	77	31	9.95	+	3.12	7.58E-03
chemokine-mediated signaling pathway (GO:0070098)	80	32	10.34	+	3.10	5.69E-03
myeloid leukocyte migration (GO:0097529)	123	49	15.89	+	3.08	7.55E-06
cellular response to chemokine (GO:1990869)	90	35	11.63	+	3.01	2.96E-03
response to chemokine (GO:1990868)	90	35	11.63	+	3.01	2.96E-03
leukocyte chemotaxis (GO:0030595)	142	55	18.35	+	3.00	1.98E-06
mononuclear cell migration (GO:0071674)	105	39	13.57	+	2.87	1.91E-03
regulation of postsynaptic membrane potential (GO:0060078)	98	36	12.66	+	2.84	6.83E-03
regulation of phagocytosis (GO:0050764)	93	34	12.02	+	2.83	1.52E-02
regulation of interleukin-8 production (GO:0032677)	85	31	10.98	+	2.82	4.65E-02
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	102	37	13.18	+	2.81	5.90E-03
regulation of interleukin-1 beta production (GO:0032651)	94	34	12.15	+	2.80	1.78E-02
cell chemotaxis (GO:0060326)	202	73	26.10	+	2.80	4.28E-08
leukocyte migration (GO:0050900)	225	81	29.07	+	2.79	2.53E-09
positive regulation of tumor necrosis factor production (GO:0032760)	98	35	12.66	+	2.76	1.55E-02
cellular response to molecule of bacterial origin (GO:0071219)	192	68	24.81	+	2.74	3.99E-07
cellular response to interferon-gamma (GO:0071346)	106	37	13.70	+	2.70	1.64E-02
cellular response to lipopolysaccharide (GO:0071222)	182	63	23.52	+	2.68	3.95E-06
cellular response to interleukin-1 (GO:0071347)	102	35	13.18	+	2.66	4.00E-02
cellular response to biotic stimulus (GO:0071216)	217	74	28.04	+	2.64	2.16E-07
response to interferon-gamma (GO:0034341)	130	44	16.80	+	2.62	3.97E-03
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	163	55	21.06	+	2.61	1.02E-04
regulation of interleukin-6 production (GO:0032675)	140	47	18.09	+	2.60	1.54E-03
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	239	79	30.88	+	2.56	1.53E-07
regulation of tumor necrosis factor production (GO:0032680)	158	52	20.42	+	2.55	6.92E-04
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	168	55	21.71	+	2.53	2.74E-04
positive regulation of mononuclear cell proliferation (GO:0032946)	139	45	17.96	+	2.51	5.50E-03
inflammatory response (GO:0006954)	501	162	64.74	+	2.50	1.58E-17
regulation of mononuclear cell proliferation (GO:0032944)	229	74	29.59	+	2.50	2.05E-06
regulation of adaptive immune response (GO:0002819)	183	59	23.65	+	2.49	1.66E-04
regulation of lymphocyte proliferation (GO:0050670)	227	73	29.33	+	2.49	3.12E-06
positive regulation of leukocyte proliferation (GO:0070665)	150	48	19.38	+	2.48	3.74E-03
positive regulation of lymphocyte proliferation (GO:0050671)	138	44	17.83	+	2.47	1.44E-02
positive regulation of inflammatory response (GO:0050729)	132	42	17.06	+	2.46	2.89E-02
positive regulation of T cell activation (GO:0050870)	217	69	28.04	+	2.46	1.41E-05
regulation of leukocyte chemotaxis (GO:0002688)	126	40	16.28	+	2.46	3.46E-02
regulation of leukocyte mediated immunity (GO:0002703)	226	71	29.20	+	2.43	1.02E-05
regulation of leukocyte proliferation (GO:0070663)	246	77	31.79	+	2.42	2.58E-06
regulation of immune effector process (GO:0002697)	339	104	43.81	+	2.37	4.57E-09
response to molecule of bacterial origin (GO:0002237)	336	103	43.42	+	2.37	6.25E-09
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	223	68	28.82	+	2.36	6.95E-05
positive regulation of cell-cell adhesion (GO:0022409)	285	86	36.83	+	2.34	1.00E-06
response to lipopolysaccharide (GO:0032496)	319	96	41.22	+	2.33	1.29E-07
regulation of T cell proliferation (GO:0042129)	173	52	22.36	+	2.33	6.81E-03
regulation of lymphocyte mediated immunity (GO:0002706)	167	50	21.58	+	2.32	1.32E-02
leukocyte activation involved in immune response (GO:0002366)	171	51	22.10	+	2.31	1.01E-02
cytokine-mediated signaling pathway (GO:0019221)	353	105	45.62	+	2.30	1.87E-08
negative regulation of leukocyte activation (GO:0002695)	183	54	23.65	+	2.28	5.20E-03
regulation of leukocyte migration (GO:0002685)	212	62	27.39	+	2.26	1.32E-03
cell activation involved in immune response (GO:0002263)	175	51	22.61	+	2.26	1.46E-02
positive regulation of immune effector process (GO:0002699)	234	68	30.24	+	2.25	4.00E-04
positive regulation of cytokine production (GO:0001819)	463	134	59.83	+	2.24	8.24E-11
regulation of leukocyte cell-cell adhesion (GO:1903037)	327	94	42.26	+	2.22	1.65E-06
leukocyte activation (GO:0045321)	502	143	64.87	+	2.20	3.58E-11
chemotaxis (GO:0006935)	499	142	64.48	+	2.20	4.94E-11
taxis (GO:0042330)	502	142	64.87	+	2.19	6.21E-11
cell activation (GO:0001775)	622	172	80.38	+	2.14	5.51E-13
positive regulation of defense response (GO:0031349)	264	73	34.11	+	2.14	5.46E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	78	36.57	+	2.13	2.20E-04
