




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_3v1_sigDOWN.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9057
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19097)	DEseq_kmeans_all_3v1_sigDOWN.txt (829)	DEseq_kmeans_all_3v1_sigDOWN.txt (expected)	DEseq_kmeans_all_3v1_sigDOWN.txt (over/under)	DEseq_kmeans_all_3v1_sigDOWN.txt (fold Enrichment)	DEseq_kmeans_all_3v1_sigDOWN.txt (P-value)
desmosome organization (GO:0002934)	10	8	.43	+	18.43	2.37E-03
establishment of skin barrier (GO:0061436)	26	14	1.13	+	12.40	3.20E-06
keratinization (GO:0031424)	57	30	2.47	+	12.12	4.18E-16
regulation of water loss via skin (GO:0033561)	28	14	1.22	+	11.52	6.75E-06
keratinocyte differentiation (GO:0030216)	107	48	4.64	+	10.33	5.86E-25
peptide cross-linking (GO:0018149)	35	13	1.52	+	8.56	4.61E-04
multicellular organismal water homeostasis (GO:0050891)	58	20	2.52	+	7.94	3.53E-07
skin development (GO:0043588)	231	77	10.03	+	7.68	1.61E-34
epidermal cell differentiation (GO:0009913)	160	52	6.95	+	7.49	6.94E-22
epidermis development (GO:0008544)	278	85	12.07	+	7.04	4.27E-36
water homeostasis (GO:0030104)	66	20	2.87	+	6.98	2.38E-06
intermediate filament cytoskeleton organization (GO:0045104)	52	15	2.26	+	6.65	7.08E-04
intermediate filament-based process (GO:0045103)	53	15	2.30	+	6.52	8.74E-04
regulation of epidermal cell differentiation (GO:0045604)	55	14	2.39	+	5.86	6.94E-03
regulation of epidermis development (GO:0045682)	61	15	2.65	+	5.66	4.10E-03
hair cycle (GO:0042633)	91	17	3.95	+	4.30	2.03E-02
molting cycle (GO:0042303)	91	17	3.95	+	4.30	2.03E-02
cell-cell junction organization (GO:0045216)	167	29	7.25	+	4.00	2.59E-05
epithelial cell differentiation (GO:0030855)	527	84	22.88	+	3.67	2.00E-18
cell-cell junction assembly (GO:0007043)	120	19	5.21	+	3.65	4.58E-02
regulation of epithelial cell differentiation (GO:0030856)	139	21	6.03	+	3.48	2.87E-02
cell junction assembly (GO:0034329)	256	31	11.11	+	2.79	1.14E-02
multicellular organismal homeostasis (GO:0048871)	347	41	15.06	+	2.72	4.19E-04
epithelium development (GO:0060429)	964	113	41.85	+	2.70	4.29E-16
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	257	30	11.16	+	2.69	3.31E-02
cell junction organization (GO:0034330)	473	50	20.53	+	2.44	4.09E-04
tissue development (GO:0009888)	1595	161	69.24	+	2.33	2.34E-18
cell-cell adhesion (GO:0098609)	514	50	22.31	+	2.24	4.57E-03
cell adhesion (GO:0007155)	948	74	41.15	+	1.80	3.28E-02
biological adhesion (GO:0022610)	954	74	41.41	+	1.79	3.60E-02
lipid metabolic process (GO:0006629)	1143	86	49.62	+	1.73	1.77E-02
animal organ development (GO:0048513)	3061	200	132.88	+	1.51	3.78E-05
cell differentiation (GO:0030154)	3382	203	146.81	+	1.38	1.64E-02
cellular developmental process (GO:0048869)	3440	206	149.33	+	1.38	1.53E-02
